order_id,order_date,customer_id,product_id,quantity,discount_pct,unit_price_inr,delivery_cost_inr,promised_delivery_date,actual_delivery_date,payment_method
O00070,2024-11-30,C0099,P004,2,15,13599.15,214,2024-12-07,2024-12-07,PayPal
O00071,2025-01-18,C0362,P011,3,0,1299.0,339,2025-01-21,2025-01-22,Debit Card
O00072,2025-04-25,C0628,P007,1,0,4999.0,475,2025-05-02,2025-05-04,Credit Card
O00073,2024-10-27,C0097,P007,1,5,4749.05,464,2024-10-30,2024-10-31,PayPal
O00074,2024-12-25,C0525,P002,3,0,5499.0,376,2024-12-28,2024-12-29,PayPal
O00075,2024-11-28,C0335,P007,1,5,4749.05,209,2024-12-05,2024-12-04,Wallet
O00076,2024-01-08,C0047,P007,3,15,4249.15,403,2024-01-13,2024-01-13,Debit Card
O00077,2025-01-27,C0233,P005,2,20,3199.2,237,2025-01-31,2025-02-01,PayPal
O00078,2024-04-13,C0623,P007,1,20,3999.2,181,2024-04-16,2024-04-16,Wallet
O00079,2025-09-08,C0453,P009,2,30,279.3,130,2025-09-10,2025-09-10,UPI
O00080,2024-11-06,C0026,P010,3,15,1869.15,222,2024-11-08,2024-11-08,Credit Card
O00081,2025-05-27,C0407,P008,3,0,6999.0,248,2025-06-01,2025-06-01,UPI
O00082,2025-07-25,C0181,P004,1,0,15999.0,113,2025-07-28,2025-07-30,Debit Card
O00083,2025-05-15,C0271,P011,1,0,1299.0,354,2025-05-17,2025-05-17,UPI
O00084,2025-12-17,C0002,P005,1,30,2799.3,239,2025-12-20,2025-12-20,UPI
O00085,2025-02-26,C0286,P012,3,30,419.3,267,2025-02-28,2025-03-02,Debit Card
O00086,2025-04-11,C0622,P010,1,0,2199.0,345,2025-04-13,2025-04-13,Wallet
O00087,2024-12-07,C0023,P004,4,0,15999.0,361,2024-12-12,2024-12-13,PayPal
O00088,2024-11-12,C0426,P001,3,0,2999.0,290,2024-11-19,2024-11-19,Wallet
O00089,2024-07-19,C0425,P006,3,0,8999.0,200,2024-07-21,2024-07-22,PayPal
O00090,2025-02-02,C0595,P006,1,0,8999.0,279,2025-02-04,2025-02-04,UPI
O00091,2025-04-13,C0608,P001,2,15,2549.15,461,2025-04-17,2025-04-19,Credit Card
O00092,2024-05-05,C0236,P005,1,0,3999.0,187,2024-05-09,2024-05-09,Credit Card
O00093,2025-10-27,C0648,P005,4,15,3399.15,101,2025-10-29,2025-10-29,UPI
O00094,2024-07-12,C0012,P006,1,30,6299.3,479,2024-07-17,2024-07-17,PayPal
O00095,2024-01-20,C0164,P009,1,15,339.15,117,2024-01-27,2024-01-27,Wallet
O00096,2024-03-13,C0310,P010,3,0,2199.0,124,2024-03-16,2024-03-18,Debit Card
O00097,2024-04-28,C0492,P007,1,15,4249.15,92,2024-05-01,2024-05-01,Debit Card
O00098,2024-12-26,C0513,P012,2,5,569.05,253,2024-12-31,2024-12-31,PayPal
O00099,2024-01-21,C0499,P011,1,5,1234.05,298,2024-01-28,2024-01-27,UPI
O00100,2025-05-24,C0177,P005,4,5,3799.05,401,2025-05-27,2025-05-27,PayPal
O00101,2024-03-24,C0357,P006,2,20,7199.2,271,2024-03-26,2024-03-28,Wallet
O00102,2024-06-16,C0356,P007,2,10,4499.1,133,2024-06-20,2024-06-22,UPI
O00103,2024-05-25,C0014,P002,2,10,4949.1,111,2024-05-27,2024-05-29,Debit Card
O00104,2025-06-14,C0617,P004,3,25,11999.25,420,2025-06-16,2025-06-18,PayPal
O00105,2025-08-06,C0548,P007,1,20,3999.2,103,2025-08-10,2025-08-11,Debit Card
O00106,2025-09-02,C0526,P002,1,0,5499.0,264,2025-09-09,2025-09-11,UPI
O00107,2024-05-05,C0450,P003,1,10,7199.1,377,2024-05-07,2024-05-08,UPI
O00108,2025-07-14,C0028,P001,1,0,2999.0,425,2025-07-17,2025-07-17,PayPal
O00109,2024-03-28,C0333,P004,1,0,15999.0,479,2024-04-04,2024-04-04,PayPal
O00110,2025-11-12,C0167,P011,1,5,1234.05,284,2025-11-16,2025-11-16,PayPal
O00111,2024-10-09,C0234,P007,3,5,4749.05,192,2024-10-13,2024-10-13,UPI
O00112,2024-12-27,C0132,P008,1,5,6649.05,178,2024-12-29,2024-12-29,PayPal
O00113,2025-07-09,C0033,P009,1,0,399.0,229,2025-07-13,2025-07-13,Wallet
O00114,2024-10-21,C0161,P009,1,10,359.1,226,2024-10-23,2024-10-23,Debit Card
O00115,2024-07-21,C0598,P001,1,0,2999.0,474,2024-07-26,2024-07-26,UPI
O00116,2024-08-07,C0393,P002,1,0,5499.0,95,2024-08-09,2024-08-10,PayPal
O00117,2024-01-01,C0168,P008,1,20,5599.2,309,2024-01-03,2024-01-03,UPI
O00118,2024-03-21,C0261,P006,2,0,8999.0,330,2024-03-28,2024-03-27,UPI
O00119,2025-03-17,C0301,P002,2,5,5224.05,348,2025-03-22,2025-03-23,Wallet
O00120,2024-09-13,C0455,P010,1,0,2199.0,250,2024-09-20,2024-09-20,Credit Card
O00121,2024-10-03,C0340,P012,3,5,569.05,199,2024-10-06,2024-10-06,PayPal
O00122,2024-06-16,C0552,P003,3,20,6399.2,391,2024-06-20,2024-06-19,Wallet
O00123,2024-04-17,C0052,P002,1,25,4124.25,215,2024-04-20,2024-04-20,Wallet
O00124,2024-09-16,C0424,P001,2,15,2549.15,184,2024-09-21,2024-09-21,Credit Card
O00125,2025-11-10,C0355,P004,1,15,13599.15,187,2025-11-17,2025-11-18,PayPal
O00126,2025-02-22,C0532,P008,1,10,6299.1,109,2025-02-26,2025-02-26,PayPal
O00127,2024-01-03,C0492,P001,1,5,2849.05,118,2024-01-06,2024-01-05,Wallet
O00128,2025-05-22,C0101,P005,1,0,3999.0,323,2025-05-25,2025-05-27,Debit Card
O00129,2025-04-14,C0508,P006,2,20,7199.2,110,2025-04-19,2025-04-20,PayPal
O00130,2024-12-30,C0418,P005,3,0,3999.0,456,2025-01-01,2025-01-03,UPI
O00131,2024-01-06,C0146,P009,3,5,379.05,261,2024-01-11,2024-01-10,PayPal
O00132,2024-03-24,C0093,P008,2,25,5249.25,127,2024-03-28,2024-03-28,Debit Card
O00133,2024-09-30,C0372,P004,1,5,15199.05,289,2024-10-07,2024-10-07,PayPal
O00134,2024-06-28,C0204,P011,2,15,1104.15,174,2024-06-30,2024-06-29,UPI
O00135,2024-11-29,C0106,P008,2,0,6999.0,283,2024-12-01,2024-12-02,Wallet
O00136,2025-09-29,C0204,P008,1,10,6299.1,179,2025-10-02,2025-10-03,PayPal
O00137,2025-09-27,C0473,P011,2,5,1234.05,381,2025-10-04,2025-10-05,PayPal
O00138,2025-04-10,C0041,P001,3,25,2249.25,439,2025-04-17,2025-04-17,Wallet
O00139,2024-11-22,C0425,P009,3,5,379.05,200,2024-11-24,2024-11-25,UPI
O00140,2024-02-13,C0456,P008,2,5,6649.05,105,2024-02-17,2024-02-17,UPI
O00141,2025-01-05,C0422,P012,2,15,509.15,306,2025-01-08,2025-01-08,PayPal
O00142,2025-02-01,C0262,P008,2,15,5949.15,452,2025-02-05,2025-02-07,PayPal
O00143,2024-02-19,C0399,P007,1,0,4999.0,450,2024-02-26,2024-02-26,UPI
O00144,2025-10-11,C0212,P002,1,30,3849.3,176,2025-10-15,2025-10-15,Wallet
O00145,2025-08-09,C0173,P004,3,25,11999.25,216,2025-08-16,2025-08-16,Debit Card
O00146,2025-08-14,C0557,P010,1,0,2199.0,393,2025-08-18,2025-08-19,PayPal
O00147,2024-03-24,C0592,P006,2,5,8549.05,111,2024-03-31,2024-03-31,Credit Card
O00148,2025-06-28,C0538,P006,1,5,8549.05,411,2025-07-02,2025-07-03,Wallet
O00149,2024-11-18,C0048,P004,2,10,14399.1,109,2024-11-22,2024-11-23,Credit Card
O00150,2025-04-14,C0307,P010,2,0,2199.0,282,2025-04-16,2025-04-18,Wallet
O00151,2024-02-07,C0327,P005,2,5,3799.05,239,2024-02-10,2024-02-10,PayPal
O00152,2025-05-30,C0574,P002,2,15,4674.15,137,2025-06-06,2025-06-06,UPI
O00153,2025-03-02,C0256,P001,1,15,2549.15,191,2025-03-04,2025-03-04,Credit Card
O00154,2024-11-18,C0603,P011,1,5,1234.05,462,2024-11-21,2024-11-23,Credit Card
O00155,2025-09-30,C0146,P001,3,10,2699.1,237,2025-10-02,2025-10-02,Wallet
O00156,2025-11-05,C0352,P009,4,0,399.0,120,2025-11-12,2025-11-13,Credit Card
O00157,2025-09-26,C0118,P002,1,10,4949.1,357,2025-09-29,2025-09-29,Credit Card
O00158,2025-05-28,C0048,P003,1,0,7999.0,290,2025-05-31,2025-05-31,Credit Card
O00159,2025-03-26,C0491,P012,1,10,539.1,420,2025-03-30,2025-04-01,UPI
O00160,2024-07-17,C0567,P010,1,5,2089.05,263,2024-07-24,2024-07-24,Wallet
O00161,2025-11-24,C0550,P012,1,5,569.05,394,2025-11-27,2025-11-27,Wallet
O00162,2025-03-29,C0273,P006,2,30,6299.3,241,2025-04-05,2025-04-06,PayPal
O00163,2024-06-15,C0019,P011,2,5,1234.05,263,2024-06-22,2024-06-22,Wallet
O00164,2024-11-22,C0620,P007,2,15,4249.15,286,2024-11-29,2024-12-02,Wallet
O00165,2025-02-20,C0323,P002,4,10,4949.1,427,2025-02-22,2025-02-23,PayPal
O00166,2025-08-30,C0627,P007,4,25,3749.25,207,2025-09-03,2025-09-04,Debit Card
O00167,2024-05-01,C0480,P005,3,5,3799.05,347,2024-05-08,2024-05-08,Debit Card
O00168,2024-04-06,C0068,P010,1,10,1979.1,267,2024-04-11,2024-04-11,PayPal
O00169,2024-12-08,C0150,P006,2,15,7649.15,306,2024-12-13,2024-12-13,UPI
O00170,2025-12-14,C0297,P001,1,25,2249.25,327,2025-12-21,2025-12-21,Wallet
O00171,2025-01-21,C0137,P005,1,0,3999.0,130,2025-01-26,2025-01-26,Debit Card
O00172,2025-07-11,C0212,P004,1,15,13599.15,137,2025-07-14,2025-07-14,PayPal
O00173,2024-04-27,C0464,P006,2,5,8549.05,213,2024-04-29,2024-04-30,Wallet
O00174,2025-04-28,C0355,P007,1,5,4749.05,252,2025-05-02,2025-05-02,Credit Card
O00175,2025-11-12,C0085,P005,2,0,3999.0,127,2025-11-19,2025-11-19,Wallet
O00176,2025-12-16,C0367,P007,2,5,4749.05,119,2025-12-20,2025-12-20,Credit Card
O00177,2025-07-19,C0583,P002,1,0,5499.0,96,2025-07-21,2025-07-21,PayPal
O00178,2025-03-09,C0285,P004,1,10,14399.1,290,2025-03-14,2025-03-17,Wallet
O00179,2024-04-24,C0228,P009,2,0,399.0,430,2024-04-29,2024-04-29,Debit Card
O00180,2024-03-12,C0309,P001,1,0,2999.0,283,2024-03-14,2024-03-14,Wallet
O00181,2025-04-02,C0259,P006,1,25,6749.25,463,2025-04-09,2025-04-10,UPI
O00182,2024-12-31,C0019,P001,3,30,2099.3,174,2025-01-02,2025-01-03,Debit Card
O00183,2025-09-26,C0505,P006,3,15,7649.15,302,2025-09-30,2025-10-01,Wallet
O00184,2025-04-19,C0171,P004,3,25,11999.25,460,2025-04-26,2025-04-26,Debit Card
O00185,2025-03-30,C0307,P012,1,20,479.2,183,2025-04-04,2025-04-04,UPI
O00186,2025-06-25,C0158,P006,3,10,8099.1,304,2025-06-30,2025-07-01,Wallet
O00187,2025-08-29,C0211,P012,2,25,449.25,160,2025-08-31,2025-09-03,Debit Card
O00188,2024-11-11,C0338,P003,2,20,6399.2,374,2024-11-16,2024-11-19,Credit Card
O00189,2024-02-06,C0377,P012,2,25,449.25,255,2024-02-13,2024-02-13,PayPal
O00190,2025-02-13,C0621,P010,1,25,1649.25,219,2025-02-15,2025-02-16,PayPal
O00191,2025-01-22,C0251,P004,1,0,15999.0,429,2025-01-27,2025-01-26,PayPal
O00192,2024-05-26,C0212,P011,2,25,974.25,288,2024-05-31,2024-06-01,Debit Card
O00193,2024-06-06,C0362,P010,2,0,2199.0,474,2024-06-10,2024-06-10,Credit Card
O00194,2024-12-04,C0422,P004,1,0,15999.0,260,2024-12-06,2024-12-07,UPI
O00195,2024-08-09,C0134,P008,2,15,5949.15,340,2024-08-11,2024-08-12,Credit Card
O00196,2025-12-23,C0360,P008,1,20,5599.2,259,2025-12-30,2026-01-01,Wallet
O00197,2025-06-25,C0238,P007,1,0,4999.0,176,2025-07-02,2025-07-02,PayPal
O00198,2024-09-23,C0232,P010,1,10,1979.1,191,2024-09-27,2024-09-27,Wallet
O00199,2024-08-14,C0474,P009,1,10,359.1,423,2024-08-19,2024-08-19,PayPal
O00200,2024-11-22,C0188,P011,1,0,1299.0,349,2024-11-25,2024-11-25,Credit Card
O00201,2024-09-07,C0140,P003,1,0,7999.0,153,2024-09-12,2024-09-12,PayPal
O00202,2025-05-19,C0469,P012,1,5,569.05,289,2025-05-23,2025-05-23,UPI
O00203,2024-02-11,C0589,P008,1,10,6299.1,131,2024-02-15,2024-02-17,Debit Card
O00204,2024-12-02,C0139,P011,1,15,1104.15,335,2024-12-07,2024-12-07,Credit Card
O00205,2025-10-30,C0210,P006,1,10,8099.1,364,2025-11-01,2025-10-31,Wallet
O00206,2025-08-21,C0073,P010,1,15,1869.15,219,2025-08-24,2025-08-26,Credit Card
O00207,2024-03-17,C0589,P007,3,0,4999.0,188,2024-03-24,2024-03-24,Wallet
O00208,2025-01-07,C0613,P007,1,10,4499.1,283,2025-01-11,2025-01-11,Credit Card
O00209,2025-07-26,C0383,P003,1,5,7599.05,271,2025-08-02,2025-08-03,UPI
O00210,2025-08-08,C0401,P002,2,20,4399.2,291,2025-08-15,2025-08-17,Credit Card
O00211,2025-10-23,C0274,P012,1,5,569.05,233,2025-10-27,2025-10-28,PayPal
O00212,2025-10-05,C0240,P006,1,0,8999.0,433,2025-10-09,2025-10-09,PayPal
O00213,2024-06-01,C0042,P010,1,5,2089.05,259,2024-06-08,2024-06-08,UPI
O00214,2024-04-05,C0501,P004,1,0,15999.0,253,2024-04-10,2024-04-10,PayPal
O00215,2024-03-31,C0479,P009,3,25,299.25,171,2024-04-02,2024-04-04,PayPal
O00216,2025-10-08,C0011,P010,3,0,2199.0,211,2025-10-15,2025-10-16,UPI
O00217,2024-08-24,C0432,P010,1,25,1649.25,339,2024-08-28,2024-08-28,PayPal
O00218,2025-02-11,C0394,P010,1,0,2199.0,423,2025-02-16,2025-02-15,PayPal
O00219,2024-01-05,C0626,P008,1,0,6999.0,227,2024-01-09,2024-01-08,PayPal
O00220,2024-06-30,C0449,P004,2,0,15999.0,299,2024-07-04,2024-07-03,Credit Card
O00221,2025-11-10,C0293,P005,1,5,3799.05,307,2025-11-15,2025-11-14,Debit Card
O00222,2025-09-12,C0162,P008,1,0,6999.0,402,2025-09-17,2025-09-18,PayPal
O00223,2024-03-05,C0425,P007,1,25,3749.25,131,2024-03-12,2024-03-12,Debit Card
O00224,2025-08-03,C0335,P006,1,25,6749.25,289,2025-08-05,2025-08-06,PayPal
O00225,2025-06-02,C0147,P012,1,15,509.15,170,2025-06-06,2025-06-08,Debit Card
O00226,2024-11-07,C0063,P011,1,0,1299.0,205,2024-11-14,2024-11-14,UPI
O00227,2024-01-14,C0050,P010,2,0,2199.0,305,2024-01-21,2024-01-21,PayPal
O00228,2025-06-11,C0061,P010,2,0,2199.0,214,2025-06-18,2025-06-19,Debit Card
O00229,2024-07-30,C0037,P003,1,0,7999.0,230,2024-08-01,2024-08-01,Debit Card
O00230,2024-11-04,C0586,P010,1,5,2089.05,351,2024-11-08,2024-11-07,Credit Card
O00231,2025-01-12,C0182,P003,1,0,7999.0,457,2025-01-15,2025-01-15,Credit Card
O00232,2024-07-13,C0567,P012,3,30,419.3,273,2024-07-17,2024-07-17,PayPal
O00233,2025-10-06,C0494,P004,3,0,15999.0,193,2025-10-11,2025-10-12,Wallet
O00234,2025-04-25,C0375,P009,1,5,379.05,201,2025-05-02,2025-05-02,Debit Card
O00235,2025-04-28,C0154,P003,2,0,7999.0,455,2025-05-03,2025-05-04,PayPal
O00236,2024-09-18,C0115,P011,2,5,1234.05,156,2024-09-25,2024-09-25,UPI
O00237,2025-09-17,C0292,P008,1,15,5949.15,267,2025-09-21,2025-09-22,Debit Card
O00238,2024-09-15,C0170,P004,2,5,15199.05,166,2024-09-19,2024-09-19,Wallet
O00239,2025-03-25,C0528,P005,1,20,3199.2,110,2025-03-28,2025-03-29,UPI
O00240,2024-12-06,C0617,P005,3,5,3799.05,447,2024-12-11,2024-12-12,UPI
O00241,2024-12-08,C0114,P003,2,20,6399.2,223,2024-12-12,2024-12-13,Credit Card
O00242,2025-06-16,C0353,P002,2,0,5499.0,379,2025-06-20,2025-06-20,Wallet
O00243,2024-02-28,C0321,P010,1,15,1869.15,319,2024-03-01,2024-03-01,Debit Card
O00244,2024-10-25,C0390,P003,1,10,7199.1,293,2024-11-01,2024-11-02,Credit Card
O00245,2024-06-27,C0084,P003,2,10,7199.1,349,2024-06-29,2024-06-29,PayPal
O00246,2024-06-04,C0127,P011,1,10,1169.1,267,2024-06-11,2024-06-12,PayPal
O00247,2025-04-21,C0459,P009,1,25,299.25,327,2025-04-25,2025-04-25,Wallet
O00248,2024-03-22,C0417,P011,2,0,1299.0,161,2024-03-27,2024-03-28,UPI
O00249,2025-11-13,C0447,P002,4,20,4399.2,118,2025-11-17,2025-11-17,Wallet
O00250,2024-12-21,C0098,P009,1,15,339.15,357,2024-12-28,2024-12-28,UPI
O00251,2025-05-21,C0372,P008,1,20,5599.2,251,2025-05-23,2025-05-23,UPI
O00252,2024-07-31,C0169,P005,2,5,3799.05,189,2024-08-05,2024-08-05,UPI
O00253,2024-09-29,C0529,P006,1,0,8999.0,277,2024-10-02,2024-10-02,Wallet
O00254,2025-01-05,C0477,P011,1,5,1234.05,420,2025-01-08,2025-01-10,UPI
O00255,2025-03-02,C0004,P002,1,0,5499.0,177,2025-03-07,2025-03-07,Wallet
O00256,2024-04-07,C0607,P003,2,10,7199.1,150,2024-04-10,2024-04-10,Credit Card
O00257,2025-01-08,C0556,P003,1,10,7199.1,426,2025-01-12,2025-01-12,Debit Card
O00258,2025-11-07,C0423,P006,3,30,6299.3,132,2025-11-10,2025-11-11,Credit Card
O00259,2025-04-10,C0494,P008,1,5,6649.05,276,2025-04-15,2025-04-14,PayPal
O00260,2025-02-02,C0351,P006,1,5,8549.05,369,2025-02-07,2025-02-07,Wallet
O00261,2024-06-30,C0158,P009,1,15,339.15,114,2024-07-05,2024-07-04,Credit Card
O00262,2025-11-29,C0513,P012,1,10,539.1,290,2025-12-04,2025-12-06,UPI
O00263,2024-06-13,C0347,P010,1,10,1979.1,424,2024-06-16,2024-06-16,Wallet
O00264,2024-11-24,C0108,P010,3,5,2089.05,325,2024-11-27,2024-11-29,PayPal
O00265,2024-03-20,C0059,P004,1,5,15199.05,409,2024-03-24,2024-03-25,Credit Card
O00266,2025-04-11,C0075,P010,1,20,1759.2,350,2025-04-15,2025-04-16,Debit Card
O00267,2025-07-28,C0016,P004,1,0,15999.0,436,2025-07-30,2025-07-30,Wallet
O00268,2024-09-06,C0594,P005,1,0,3999.0,219,2024-09-11,2024-09-11,Debit Card
O00269,2025-07-11,C0436,P011,1,0,1299.0,233,2025-07-15,2025-07-15,Credit Card
O00270,2024-05-08,C0331,P002,1,0,5499.0,296,2024-05-15,2024-05-15,Credit Card
O00271,2024-01-28,C0629,P012,2,15,509.15,468,2024-01-30,2024-01-30,Debit Card
O00272,2024-05-30,C0315,P004,2,0,15999.0,391,2024-06-03,2024-06-03,Credit Card
O00273,2025-12-30,C0444,P006,2,15,7649.15,195,2026-01-03,2026-01-04,PayPal
O00274,2025-12-29,C0643,P005,1,0,3999.0,126,2026-01-01,2026-01-01,Debit Card
O00275,2024-02-28,C0370,P011,2,0,1299.0,418,2024-03-06,2024-03-09,Wallet
O00276,2024-05-18,C0159,P012,2,0,599.0,469,2024-05-23,2024-05-24,UPI
O00277,2024-08-19,C0418,P007,1,20,3999.2,395,2024-08-23,2024-08-26,Debit Card
O00278,2024-02-25,C0009,P001,2,15,2549.15,305,2024-02-28,2024-02-28,Wallet
O00279,2025-10-04,C0451,P009,4,15,339.15,259,2025-10-08,2025-10-08,PayPal
O00280,2025-10-01,C0371,P006,1,30,6299.3,391,2025-10-08,2025-10-08,Credit Card
O00281,2025-01-17,C0474,P006,1,0,8999.0,436,2025-01-19,2025-01-19,Credit Card
O00282,2025-01-04,C0384,P005,1,20,3199.2,362,2025-01-08,2025-01-08,Debit Card
O00283,2025-12-09,C0395,P005,1,20,3199.2,328,2025-12-14,2025-12-14,UPI
O00284,2025-10-27,C0148,P004,1,15,13599.15,311,2025-11-03,2025-11-03,UPI
O00285,2025-10-13,C0581,P001,3,10,2699.1,392,2025-10-17,2025-10-18,Debit Card
O00286,2024-03-03,C0240,P011,1,5,1234.05,312,2024-03-07,2024-03-08,Debit Card
O00287,2024-04-07,C0203,P007,1,10,4499.1,264,2024-04-14,2024-04-15,Wallet
O00288,2024-05-26,C0368,P006,1,30,6299.3,469,2024-05-29,2024-05-29,Debit Card
